	contribution	tag	corpus	id_elf	count
41	3-10340	Transparence	Il ne s'agit pas d'information dont on a besoin mais simplement que l'Etat ait une action claire qui laisse apparaître des choix politiques et le financement des actions correspondantes. Par exemple la politique de la ville est une aberration : pas de résultats pour des milliards engagés. L'emploi des fonds collectés au travers de l'impôt est une préoccupation	FI7	1
42	3-10395	Impôt sur la nationalité	Tous les citoyens payent leurs impôts en France.plus de résidents en Belgique ou en Suisse,. Une entreprise Française à son siège social en France et non pas auxvi pays bas.	FI8	3
43	3-10395	Lutte évasion, fraude, optimisation	Tous les citoyens payent leurs impôts en France.plus de résidents en Belgique ou en Suisse,. Une entreprise Française à son siège social en France et non pas auxvi pays bas.	FI8	1
44	3-10414	Lutte évasion, fraude, optimisation	- Taxer les plus hauts salaires en plafonnant l’échèle des revenus (1 à 10 par exemple) - Taxer les bénéfices des grosses entreprises - Lutter contre l'évasion fiscale de façon concrète (bénéfice en France = impôt payé en France)	FI8	3
45	3-10414	P + de tranches IR progressives	- Taxer les plus hauts salaires en plafonnant l’échèle des revenus (1 à 10 par exemple) - Taxer les bénéfices des grosses entreprises - Lutter contre l'évasion fiscale de façon concrète (bénéfice en France = impôt payé en France)	FI8	1
46	3-10414	Taxer les multinationales, GAFAM	- Taxer les plus hauts salaires en plafonnant l’échèle des revenus (1 à 10 par exemple) - Taxer les bénéfices des grosses entreprises - Lutter contre l'évasion fiscale de façon concrète (bénéfice en France = impôt payé en France)	FI8	3
47	3-10414	Taxer les riches	- Taxer les plus hauts salaires en plafonnant l’échèle des revenus (1 à 10 par exemple) - Taxer les bénéfices des grosses entreprises - Lutter contre l'évasion fiscale de façon concrète (bénéfice en France = impôt payé en France)	FI8	2
48	3-10433	Transparence	La transparence	FI7	3
49	3-10454	Impôt symbolique pour tous	Que tout le monde paye l'impôt sur le revenu , même 1 euro symbolique	FI8	3
50	3-10460	Impôt symbolique pour tous	Revoir le calcul des impôts. Je trouve que les tranches d'imposition sont très injustes, en effet celui qui au bas de la tranche avec un salaire moindre, paye autant d'impôt que celui qui se trouve en haut de la même tranche. Un pourcentage qui serait appliqué sur le salaire (à partir d'un revenu minimum) serait plus juste. Ainsi il n'y aurait pas besoin de remettre l'I.S.F.	FI8	2
51	3-10460	P + de tranches IR progressives	Revoir le calcul des impôts. Je trouve que les tranches d'imposition sont très injustes, en effet celui qui au bas de la tranche avec un salaire moindre, paye autant d'impôt que celui qui se trouve en haut de la même tranche. Un pourcentage qui serait appliqué sur le salaire (à partir d'un revenu minimum) serait plus juste. Ainsi il n'y aurait pas besoin de remettre l'I.S.F.	FI8	3
52	3-10460	Taux IR égal pour tous	Revoir le calcul des impôts. Je trouve que les tranches d'imposition sont très injustes, en effet celui qui au bas de la tranche avec un salaire moindre, paye autant d'impôt que celui qui se trouve en haut de la même tranche. Un pourcentage qui serait appliqué sur le salaire (à partir d'un revenu minimum) serait plus juste. Ainsi il n'y aurait pas besoin de remettre l'I.S.F.	FI8	2
53	3-10486	Transparence	La transparence	FI7	3
54	3-10494	Par l'école	Une meilleure connaissance démocratique et une réelle transparence concernant les lois, les budgets, etc. Prendre exemple sur la politique Suisse qui implique davantage les citoyens par le vote obligatoire, et un accès détaillé aux conséquences des propositions (notamment en terme de budget).	FI7	1
55	3-10494	Prévision, rétrospective	Une meilleure connaissance démocratique et une réelle transparence concernant les lois, les budgets, etc. Prendre exemple sur la politique Suisse qui implique davantage les citoyens par le vote obligatoire, et un accès détaillé aux conséquences des propositions (notamment en terme de budget).	FI7	1
56	3-10494	Pédagogie, visualisation	Une meilleure connaissance démocratique et une réelle transparence concernant les lois, les budgets, etc. Prendre exemple sur la politique Suisse qui implique davantage les citoyens par le vote obligatoire, et un accès détaillé aux conséquences des propositions (notamment en terme de budget).	FI7	1
57	3-10494	Transparence	Une meilleure connaissance démocratique et une réelle transparence concernant les lois, les budgets, etc. Prendre exemple sur la politique Suisse qui implique davantage les citoyens par le vote obligatoire, et un accès détaillé aux conséquences des propositions (notamment en terme de budget).	FI7	2
58	3-10536	Idée marquée	il pourrait être mis en place une Cotisation Spécifique de Solidarité sur les rémunérations supérieures à 20 fois le smic et affecter cette cotisation exclusivement afin que chaque français (travailleurs, retraités, etc...) dispose d'un revenu net minimum de 1200euros/mois en passant par le biais d'une sorte de ''prime de vie'' (sans augmentation du smic qui pénalise les entreprises).	FI8	1
59	3-10536	Taxer les riches	il pourrait être mis en place une Cotisation Spécifique de Solidarité sur les rémunérations supérieures à 20 fois le smic et affecter cette cotisation exclusivement afin que chaque français (travailleurs, retraités, etc...) dispose d'un revenu net minimum de 1200euros/mois en passant par le biais d'une sorte de ''prime de vie'' (sans augmentation du smic qui pénalise les entreprises).	FI8	2
60	3-10537	Revoir niches	supprimer toutes les niches fiscales	FI8	3
61	3-10571	Transparence	la transparence	FI7	3
62	3-10628	Transparence	plus de transparence	FI7	3
63	3-10632	Impôt symbolique pour tous	imposer tous les foyers fiscaux	FI8	3
64	3-10632	Taux IR égal pour tous	imposer tous les foyers fiscaux	FI8	1
65	3-10703	Lutte évasion, fraude, optimisation	"réduire les "" niches"" fiscale, qui permettent au plus riches de réduire voir de ne pas payer d'impôt. Renforcé la lutte contre la l'évasion fiscale."	FI8	3
66	3-10703	Revoir niches	"réduire les "" niches"" fiscale, qui permettent au plus riches de réduire voir de ne pas payer d'impôt. Renforcé la lutte contre la l'évasion fiscale."	FI8	3
67	3-10721	IR proportionnel aux revenus	Tout le monde devrait - à sa hauteur - contribuer à l’impôt sur le revenu. Pas seulement à la TVA. Même si cela coûtera peut être en collecte, cela permettra de créer un lien entre ces foyers qui ne payaient pas d’impôt et l’état.  Peut être que ces personnes hésiteront davantage par la suite à casser des abribus ou autres s’ils savent que c’est leur argent. Certaines personnes ont perdu avec les impôts « invisibles » type TVA tout sens des responsabilités citoyenne.	FI8	1
68	3-10721	Impôt symbolique pour tous	Tout le monde devrait - à sa hauteur - contribuer à l’impôt sur le revenu. Pas seulement à la TVA. Même si cela coûtera peut être en collecte, cela permettra de créer un lien entre ces foyers qui ne payaient pas d’impôt et l’état.  Peut être que ces personnes hésiteront davantage par la suite à casser des abribus ou autres s’ils savent que c’est leur argent. Certaines personnes ont perdu avec les impôts « invisibles » type TVA tout sens des responsabilités citoyenne.	FI8	4
69	3-10734	Comparaisons internationales	Disposer d'une comparaison de la répartition des grandes masses d'impôts et des prestations par rapport aux principaux pays européens (voire de l'OCDE)	FI7	3
70	3-10780	TVA réduite (1ère nécessité)	Afin de rendre la fiscalité plus juste et efficace, il faut taxer les très grosses entreprises ainsi que les dividendes versés aux actionnaires qui actuellement sont énormes. Il faut aussi taxé les produits importés afin de favoriser l'achat de produits locaux. Il faut diminuer les taxes sur les produits de premiere  nécessité, tel que certaines denrée alimentaire (fruits et légumes / viandes / poissons )	FI8	5
71	3-10780	TVA réduite (bio, sain, local, français)	Afin de rendre la fiscalité plus juste et efficace, il faut taxer les très grosses entreprises ainsi que les dividendes versés aux actionnaires qui actuellement sont énormes. Il faut aussi taxé les produits importés afin de favoriser l'achat de produits locaux. Il faut diminuer les taxes sur les produits de premiere  nécessité, tel que certaines denrée alimentaire (fruits et légumes / viandes / poissons )	FI8	2
72	3-10780	Taxer la finance	Afin de rendre la fiscalité plus juste et efficace, il faut taxer les très grosses entreprises ainsi que les dividendes versés aux actionnaires qui actuellement sont énormes. Il faut aussi taxé les produits importés afin de favoriser l'achat de produits locaux. Il faut diminuer les taxes sur les produits de premiere  nécessité, tel que certaines denrée alimentaire (fruits et légumes / viandes / poissons )	FI8	4
73	3-10780	Taxer le luxe, polluant, importé	Afin de rendre la fiscalité plus juste et efficace, il faut taxer les très grosses entreprises ainsi que les dividendes versés aux actionnaires qui actuellement sont énormes. Il faut aussi taxé les produits importés afin de favoriser l'achat de produits locaux. Il faut diminuer les taxes sur les produits de premiere  nécessité, tel que certaines denrée alimentaire (fruits et légumes / viandes / poissons )	FI8	4
74	3-10780	Taxer les multinationales, GAFAM	Afin de rendre la fiscalité plus juste et efficace, il faut taxer les très grosses entreprises ainsi que les dividendes versés aux actionnaires qui actuellement sont énormes. Il faut aussi taxé les produits importés afin de favoriser l'achat de produits locaux. Il faut diminuer les taxes sur les produits de premiere  nécessité, tel que certaines denrée alimentaire (fruits et légumes / viandes / poissons )	FI8	5
75	3-10849	Détail des dépenses, comptes	Refonte totale de la fiscalité. Tant que ce ne sera pas fait rien ne pourra être fait. Il faut que les français sachent à quoi servent leurs impôts.	FI7	1
76	3-10849	Exemples concrets d'usage	Refonte totale de la fiscalité. Tant que ce ne sera pas fait rien ne pourra être fait. Il faut que les français sachent à quoi servent leurs impôts.	FI7	1
77	3-10849	Remise à plat, simplification	Refonte totale de la fiscalité. Tant que ce ne sera pas fait rien ne pourra être fait. Il faut que les français sachent à quoi servent leurs impôts.	FI7	2
78	3-10849	Transparence	Refonte totale de la fiscalité. Tant que ce ne sera pas fait rien ne pourra être fait. Il faut que les français sachent à quoi servent leurs impôts.	FI7	2
79	3-10858	IR proportionnel aux revenus	1. rétablir l'ISF ou au moins défiscaliser seulement si l'argent est investi dans l'économie 2. Taxer les transactions financières (un niveau de taxation faible permettrait déjà de récupérer beaucoup d'argent de manière récurrente) 3. Augmenter significativement le nombre de tranches de l'impôt sur le revenu et agrandir l'assiette de cet impôt à tous les revenus bien-sûr en taxant les faibles revenus (ceux qui ne paient pas aujourd'hui) de moins d'un euro par mois). 4. Baisser encore la TVA sur les produits de première nécessité, l'augmenter substantiellement (pour compenser) sur les produits de luxe  5. Taxer le kérosène des avions (cela ajoutera quelques euros peut-être ... ou pas ... sur les billets d'avions ce qui n'empêchera pas les utilisateurs de ce moyen de transport de continuer à le prendre) et le fuel lourd des énormes bateaux qui polluent énormément plus que nos voitures !! 6. Lutter efficacement sur l'évasion fiscale en rendant par exemple l'optimisation fiscale aujourd'hui légale illégale (il suffit de changer les lois, c'est le travail des politiques non ?)	FI8	1
80	3-10858	Impôt symbolique pour tous	1. rétablir l'ISF ou au moins défiscaliser seulement si l'argent est investi dans l'économie 2. Taxer les transactions financières (un niveau de taxation faible permettrait déjà de récupérer beaucoup d'argent de manière récurrente) 3. Augmenter significativement le nombre de tranches de l'impôt sur le revenu et agrandir l'assiette de cet impôt à tous les revenus bien-sûr en taxant les faibles revenus (ceux qui ne paient pas aujourd'hui) de moins d'un euro par mois). 4. Baisser encore la TVA sur les produits de première nécessité, l'augmenter substantiellement (pour compenser) sur les produits de luxe  5. Taxer le kérosène des avions (cela ajoutera quelques euros peut-être ... ou pas ... sur les billets d'avions ce qui n'empêchera pas les utilisateurs de ce moyen de transport de continuer à le prendre) et le fuel lourd des énormes bateaux qui polluent énormément plus que nos voitures !! 6. Lutter efficacement sur l'évasion fiscale en rendant par exemple l'optimisation fiscale aujourd'hui légale illégale (il suffit de changer les lois, c'est le travail des politiques non ?)	FI8	2
81	3-10858	Lutte évasion, fraude, optimisation	1. rétablir l'ISF ou au moins défiscaliser seulement si l'argent est investi dans l'économie 2. Taxer les transactions financières (un niveau de taxation faible permettrait déjà de récupérer beaucoup d'argent de manière récurrente) 3. Augmenter significativement le nombre de tranches de l'impôt sur le revenu et agrandir l'assiette de cet impôt à tous les revenus bien-sûr en taxant les faibles revenus (ceux qui ne paient pas aujourd'hui) de moins d'un euro par mois). 4. Baisser encore la TVA sur les produits de première nécessité, l'augmenter substantiellement (pour compenser) sur les produits de luxe  5. Taxer le kérosène des avions (cela ajoutera quelques euros peut-être ... ou pas ... sur les billets d'avions ce qui n'empêchera pas les utilisateurs de ce moyen de transport de continuer à le prendre) et le fuel lourd des énormes bateaux qui polluent énormément plus que nos voitures !! 6. Lutter efficacement sur l'évasion fiscale en rendant par exemple l'optimisation fiscale aujourd'hui légale illégale (il suffit de changer les lois, c'est le travail des politiques non ?)	FI8	3
82	3-10858	Mesurer l'impact	1. rétablir l'ISF ou au moins défiscaliser seulement si l'argent est investi dans l'économie 2. Taxer les transactions financières (un niveau de taxation faible permettrait déjà de récupérer beaucoup d'argent de manière récurrente) 3. Augmenter significativement le nombre de tranches de l'impôt sur le revenu et agrandir l'assiette de cet impôt à tous les revenus bien-sûr en taxant les faibles revenus (ceux qui ne paient pas aujourd'hui) de moins d'un euro par mois). 4. Baisser encore la TVA sur les produits de première nécessité, l'augmenter substantiellement (pour compenser) sur les produits de luxe  5. Taxer le kérosène des avions (cela ajoutera quelques euros peut-être ... ou pas ... sur les billets d'avions ce qui n'empêchera pas les utilisateurs de ce moyen de transport de continuer à le prendre) et le fuel lourd des énormes bateaux qui polluent énormément plus que nos voitures !! 6. Lutter efficacement sur l'évasion fiscale en rendant par exemple l'optimisation fiscale aujourd'hui légale illégale (il suffit de changer les lois, c'est le travail des politiques non ?)	FI8	1
83	3-10858	P + de tranches IR progressives	1. rétablir l'ISF ou au moins défiscaliser seulement si l'argent est investi dans l'économie 2. Taxer les transactions financières (un niveau de taxation faible permettrait déjà de récupérer beaucoup d'argent de manière récurrente) 3. Augmenter significativement le nombre de tranches de l'impôt sur le revenu et agrandir l'assiette de cet impôt à tous les revenus bien-sûr en taxant les faibles revenus (ceux qui ne paient pas aujourd'hui) de moins d'un euro par mois). 4. Baisser encore la TVA sur les produits de première nécessité, l'augmenter substantiellement (pour compenser) sur les produits de luxe  5. Taxer le kérosène des avions (cela ajoutera quelques euros peut-être ... ou pas ... sur les billets d'avions ce qui n'empêchera pas les utilisateurs de ce moyen de transport de continuer à le prendre) et le fuel lourd des énormes bateaux qui polluent énormément plus que nos voitures !! 6. Lutter efficacement sur l'évasion fiscale en rendant par exemple l'optimisation fiscale aujourd'hui légale illégale (il suffit de changer les lois, c'est le travail des politiques non ?)	FI8	4
84	3-10858	Rétablir ISF	1. rétablir l'ISF ou au moins défiscaliser seulement si l'argent est investi dans l'économie 2. Taxer les transactions financières (un niveau de taxation faible permettrait déjà de récupérer beaucoup d'argent de manière récurrente) 3. Augmenter significativement le nombre de tranches de l'impôt sur le revenu et agrandir l'assiette de cet impôt à tous les revenus bien-sûr en taxant les faibles revenus (ceux qui ne paient pas aujourd'hui) de moins d'un euro par mois). 4. Baisser encore la TVA sur les produits de première nécessité, l'augmenter substantiellement (pour compenser) sur les produits de luxe  5. Taxer le kérosène des avions (cela ajoutera quelques euros peut-être ... ou pas ... sur les billets d'avions ce qui n'empêchera pas les utilisateurs de ce moyen de transport de continuer à le prendre) et le fuel lourd des énormes bateaux qui polluent énormément plus que nos voitures !! 6. Lutter efficacement sur l'évasion fiscale en rendant par exemple l'optimisation fiscale aujourd'hui légale illégale (il suffit de changer les lois, c'est le travail des politiques non ?)	FI8	4
85	3-10858	TVA réduite (1ère nécessité)	1. rétablir l'ISF ou au moins défiscaliser seulement si l'argent est investi dans l'économie 2. Taxer les transactions financières (un niveau de taxation faible permettrait déjà de récupérer beaucoup d'argent de manière récurrente) 3. Augmenter significativement le nombre de tranches de l'impôt sur le revenu et agrandir l'assiette de cet impôt à tous les revenus bien-sûr en taxant les faibles revenus (ceux qui ne paient pas aujourd'hui) de moins d'un euro par mois). 4. Baisser encore la TVA sur les produits de première nécessité, l'augmenter substantiellement (pour compenser) sur les produits de luxe  5. Taxer le kérosène des avions (cela ajoutera quelques euros peut-être ... ou pas ... sur les billets d'avions ce qui n'empêchera pas les utilisateurs de ce moyen de transport de continuer à le prendre) et le fuel lourd des énormes bateaux qui polluent énormément plus que nos voitures !! 6. Lutter efficacement sur l'évasion fiscale en rendant par exemple l'optimisation fiscale aujourd'hui légale illégale (il suffit de changer les lois, c'est le travail des politiques non ?)	FI8	4
