	contribution	tag	corpus	id_elf	count
10	1-10112	Condamnation des atteintes à la laïcité	Ce n’est pas une priorité à mon sens L’éducation doit permettre la laïcité  La justice doit aussi être saisie plus facilement en cas de violation de la laïcité	DC13	3
11	1-10112	Plus d'éducation	Ce n’est pas une priorité à mon sens L’éducation doit permettre la laïcité  La justice doit aussi être saisie plus facilement en cas de violation de la laïcité	DC13	4
12	1-10268	Application loi 1905	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	DC13	4
13	1-10268	Aucun signe ostentatoire (croix, voile, kippa...)	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	DC13	7
14	1-10268	Condamnation des atteintes à la laïcité	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	DC13	1
15	1-10268	Séparation stricte Etat-religions	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	DC13	1
16	1-10288	Aucun signe ostentatoire (croix, voile, kippa...)	Aucun signe religieux ostentatoire dans tous les espaces publics	DC13	3
17	1-10302	Application loi 1905	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	DC13	3
18	1-10302	Aucun signe ostentatoire (croix, voile, kippa...)	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	DC13	4
19	1-10302	Garantir la liberté de culte	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	DC13	4
20	1-10302	Loi de la République avant celles de la religion	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	DC13	1
21	1-10302	Redonner un aspect privé à la religion	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	DC13	1
22	1-10348	Y Rien	ras	DC13	3
23	1-10391	Y Rien	Pas d’avis	DC13	1
24	1-10409	Aucun financement par l'Etat	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	DC13	1
25	1-10409	Encadrer formation imams	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	DC13	3
26	1-10409	Pas de prêche en langue étrangère	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	DC13	1
27	1-10409	Plus d'éducation	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	DC13	4
28	1-10409	Réduire financements étrangers	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	DC13	3
29	1-10419	Application loi 1905	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	DC13	3
30	1-10419	Aucun signe ostentatoire (croix, voile, kippa...)	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	DC13	4
31	1-10419	Condamnation des atteintes à la laïcité	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	DC13	1
32	1-10419	Redonner un aspect privé à la religion	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	DC13	4
33	1-10499	Application loi 1905	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	DC13	4
34	1-10499	Aucun signe ostentatoire (croix, voile, kippa...)	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	DC13	4
35	1-10499	Même traitement pour toutes les religions	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	DC13	1
36	1-10499	Redonner un aspect privé à la religion	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	DC13	1
37	1-10499	Stop prosélytisme	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	DC13	3
38	1-10499	Séparation stricte Etat-religions	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	DC13	1
39	1-10502	Y Rien	rien	DC13	3
40	1-10524	Application loi 1905	Faire appliquer la Loi de 1905 dans son intégralité; et ne surtout pas y toucher.	DC13	3
41	1-1063	Application loi 1905	s'en tenir à la loi de 1905	DC13	3
42	1-1071	Application loi 1905	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	2
43	1-1071	Aucun financement par l'Etat	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	4
44	1-1071	Aucun signe ostentatoire (croix, voile, kippa...)	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	1
45	1-1071	Condamnation des atteintes à la laïcité	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	1
46	1-1071	Fin du Concordat (Alsace-Moselle)	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	6
47	1-1071	Garantir la liberté de culte	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	5
48	1-1071	Loi de la République avant celles de la religion	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	2
49	1-1071	Lutte contre extrémismes	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	1
50	1-1071	Moins de clientélisme	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	1
51	1-1071	Même traitement pour toutes les religions	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	1
52	1-1071	Séparation stricte Etat-religions	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	DC13	5
53	1-10712	Application loi 1905	la loi de 1905 suffit	DC13	3
54	1-10754	Application loi 1905	Tout établissement public même les universités doivent respecter la laïcité.  Ce qui n'est pas encore le cas dans les universités.. Alors avant de proposer un renforcement des principes de laïcité, faites appliquer tout simplement les règles dans le pays.	DC13	4
55	1-10784	Y Rien	rien	DC13	3
56	1-10806	Idée marquée	C'est relativement simple, il faut salarier les serviteurs de tous les cultes et donc en faire des fonctionnaires, certains pays comme le Danemark le font et tiennent donc et dans leur sein mais aussi avec rigueur, les principes de chaque religion qui ne doivent en aucun cas êtres au dessus des lois...C'est certes bizarre mais cela doit marcher, une administration des cultes qui permettra une meilleure laïcité de notre état...	DC13	2
57	1-10806	Loi de la République avant celles de la religion	C'est relativement simple, il faut salarier les serviteurs de tous les cultes et donc en faire des fonctionnaires, certains pays comme le Danemark le font et tiennent donc et dans leur sein mais aussi avec rigueur, les principes de chaque religion qui ne doivent en aucun cas êtres au dessus des lois...C'est certes bizarre mais cela doit marcher, une administration des cultes qui permettra une meilleure laïcité de notre état...	DC13	2
58	1-10806	Réduire financements étrangers	C'est relativement simple, il faut salarier les serviteurs de tous les cultes et donc en faire des fonctionnaires, certains pays comme le Danemark le font et tiennent donc et dans leur sein mais aussi avec rigueur, les principes de chaque religion qui ne doivent en aucun cas êtres au dessus des lois...C'est certes bizarre mais cela doit marcher, une administration des cultes qui permettra une meilleure laïcité de notre état...	DC13	2
59	1-10809	Aucun signe ostentatoire (croix, voile, kippa...)	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	DC13	3
60	1-10809	Idée marquée	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	DC13	1
61	1-10809	Loi de la République avant celles de la religion	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	DC13	1
62	1-10809	Pas d'imposition des valeurs	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	DC13	4
63	1-10809	Pas de laïcité extrême	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	DC13	5
64	1-10809	Plus de dialogue	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	DC13	1
