	contribution	tag	corpus	question	count
10	1-10112	Plus d'éducation	Ce n’est pas une priorité à mon sens L’éducation doit permettre la laïcité  La justice doit aussi être saisie plus facilement en cas de violation de la laïcité	127	4
11	1-10268	Application loi 1905	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	127	4
12	1-10268	Aucun signe ostentatoire (croix, voile, kippa...)	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	127	7
13	1-10268	Condamnation des atteintes à la laïcité	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	127	1
14	1-10268	Séparation stricte Etat-religions	La laïcité doit être appliquée avec rigueur, et ne plus autoriser tout signe ostentatoire religieux dans l'espace public	127	1
15	1-10288	Aucun signe ostentatoire (croix, voile, kippa...)	Aucun signe religieux ostentatoire dans tous les espaces publics	127	3
16	1-10302	Application loi 1905	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	127	3
17	1-10302	Aucun signe ostentatoire (croix, voile, kippa...)	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	127	4
18	1-10302	Garantir la liberté de culte	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	127	4
19	1-10302	Loi de la République avant celles de la religion	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	127	1
20	1-10302	Redonner un aspect privé à la religion	La loi est déjà assez claire comme ça. Liberté de cultes pour tous, droit d'avoir des lieux de cultes et pas de signes ostentatoires dans l'espace publique.	127	1
21	1-10348	Y Rien	ras	127	3
22	1-10391	Y Rien	Pas d’avis	127	1
23	1-10409	Aucun financement par l'Etat	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	127	1
24	1-10409	Encadrer formation imams	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	127	3
25	1-10409	Plus d'éducation	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	127	4
26	1-10409	Réduire financements étrangers	éthique enseignée des l'école primaire; mettre en avant les droits mais aussi les devoirs interdire les financements étrangers ne pas autoriser les imans étrangers	127	3
27	1-10419	Application loi 1905	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	127	3
28	1-10419	Aucun signe ostentatoire (croix, voile, kippa...)	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	127	4
29	1-10419	Condamnation des atteintes à la laïcité	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	127	1
30	1-10419	Redonner un aspect privé à la religion	Faire Respecter Les principes de la laïcité...Le religion oui bien sûr mais  uniquement chez soi et entre soi dans les lieux de culte et nulle part ailleurs! Ni dans les lieux publics ni à l’école ni au travail...pas de signes ostentatoires .	127	4
31	1-10499	Application loi 1905	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	127	4
32	1-10499	Aucun signe ostentatoire (croix, voile, kippa...)	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	127	4
33	1-10499	Même traitement pour toutes les religions	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	127	1
34	1-10499	Redonner un aspect privé à la religion	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	127	1
35	1-10499	Stop prosélytisme	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	127	3
36	1-10499	Séparation stricte Etat-religions	Stricte respect de la loi 1905 pour toutes les religions. Pas de coiffe, pas de voile, pas de Kippa sur la voie publique. pas de passe droit, pas de ségrégation homme/femme dans les lieux publics ex piscine,  prosélytisme confiné dans la sphère privée,	127	1
37	1-10502	Y Rien	rien	127	3
38	1-10524	Application loi 1905	Faire appliquer la Loi de 1905 dans son intégralité; et ne surtout pas y toucher.	127	3
39	1-1063	Application loi 1905	s'en tenir à la loi de 1905	127	3
40	1-1071	Application loi 1905	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	2
41	1-1071	Aucun financement par l'Etat	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	4
42	1-1071	Aucun signe ostentatoire (croix, voile, kippa...)	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	1
43	1-1071	Condamnation des atteintes à la laïcité	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	1
44	1-1071	Garantir la liberté de culte	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	5
45	1-1071	Loi de la République avant celles de la religion	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	2
46	1-1071	Lutte contre extrémismes	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	1
47	1-1071	Même traitement pour toutes les religions	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	1
48	1-1071	Séparation stricte Etat-religions	Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer)  Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi  Combattre tous les communautarismes et l'usage politique des religions  Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels  Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine  Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République	127	5
49	1-10712	Application loi 1905	la loi de 1905 suffit	127	3
50	1-10754	Application loi 1905	Tout établissement public même les universités doivent respecter la laïcité.  Ce qui n'est pas encore le cas dans les universités.. Alors avant de proposer un renforcement des principes de laïcité, faites appliquer tout simplement les règles dans le pays.	127	4
51	1-10784	Y Rien	rien	127	3
52	1-10806	Loi de la République avant celles de la religion	C'est relativement simple, il faut salarier les serviteurs de tous les cultes et donc en faire des fonctionnaires, certains pays comme le Danemark le font et tiennent donc et dans leur sein mais aussi avec rigueur, les principes de chaque religion qui ne doivent en aucun cas êtres au dessus des lois...C'est certes bizarre mais cela doit marcher, une administration des cultes qui permettra une meilleure laïcité de notre état...	127	2
53	1-10806	Réduire financements étrangers	C'est relativement simple, il faut salarier les serviteurs de tous les cultes et donc en faire des fonctionnaires, certains pays comme le Danemark le font et tiennent donc et dans leur sein mais aussi avec rigueur, les principes de chaque religion qui ne doivent en aucun cas êtres au dessus des lois...C'est certes bizarre mais cela doit marcher, une administration des cultes qui permettra une meilleure laïcité de notre état...	127	2
54	1-10809	Aucun signe ostentatoire (croix, voile, kippa...)	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	127	3
55	1-10809	Loi de la République avant celles de la religion	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	127	1
56	1-10809	Pas d'imposition des valeurs	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	127	4
57	1-10809	Plus de dialogue	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	127	1
58	1-10809	Plus de tolérance	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	127	1
59	1-10809	Préserver les coutumes françaises	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	127	4
60	1-10809	Redonner un aspect privé à la religion	"La laicite telle que nous l'avons faite evoluer aujourd'hui est devenue une religion en soi qui ecarte le fait religieux de la chose publique. Comment expliquer que d'autres pays qui ont une diversite religieuse tres importante n'aient aucun probleme a vivre ensemble ? sans passer par un exces de laicite. Celle-ci est devenue un pretexte pour interdire alros qu'elle devait au contraire apaiser. La religion est avant tout une expression culturelle, on peut apprecier le cote culturel d'une religion [e.g creches], sans epouser ses rites ou ses croyances. Pourquoi l'Etat entretient-il alors le patrimoine des Eglises ? pour son cote culturel, c'est aussi un attrait touristique. Par contre, lorsqu'une religion entend imposer un style de vie publique sur les fondements religieux, il faut dire stop ! c'est valable pour n'importe quelle religion, mais une aujourd'hui pose plus de problemes dans notre pays que les autres. Ouvrir le debat sur l'apport et l'heritage culturel de la religion dans notre vie publique serait susceptible d'apaiser les tensions, de la meme maniere clarifier une bonne fois pour toute que l'expression du rite religieux pour un citoyen [mis a part bien sur les pretres, soeurs, moines, rabins, Imams et autres membres reconnus par les instances religieuses qui portent des vetements distinctifs] dans la sphere publique n'est pas compatible avec les valeurs de notre Republique. [prieres de rue, processions... sauf si elles sont expressement autorisees par le Maire]. Enfin il est incomprehensible de voir que nos gouvernants rejettent ostensiblement notre heritage chretien en tant que valeur culturelle. Est-ce que le fait que le President des Etats-Unis jure sur la bible [il n'est pas oblige de le faire] et que la devise ""In God We trust"" porte atteinte a leur democracie ?"	127	1
61	1-11017	Y Rien	NSP	127	1
62	1-11048	Y Rien	Rien	127	3
63	1-11111	Y Rien	rien	127	3
64	1-11114	Y Rien	Rien	127	3
65	1-11166	Condamnation des atteintes à la laïcité	Remettre en place l'éducation civique dans le primaire et le secondaire . Pénaliser fortement les comportements inappropriés de nos élus qui sont garants de l'exemplarité; actuellement un citoyen va se voir beaucoup plus pénalisé dans le cas d'un comportement inadéquat qu'un élu; il faut inverser cela et rétablir la notion de justice.Rétablir le respect de l'autre, il est aberrant que Mr Macron ne se comporte pas mieux que Mr Sarcozy.	127	3
66	1-11166	Plus d'éducation	Remettre en place l'éducation civique dans le primaire et le secondaire . Pénaliser fortement les comportements inappropriés de nos élus qui sont garants de l'exemplarité; actuellement un citoyen va se voir beaucoup plus pénalisé dans le cas d'un comportement inadéquat qu'un élu; il faut inverser cela et rétablir la notion de justice.Rétablir le respect de l'autre, il est aberrant que Mr Macron ne se comporte pas mieux que Mr Sarcozy.	127	3
67	1-11166	Séparation stricte Etat-religions	Remettre en place l'éducation civique dans le primaire et le secondaire . Pénaliser fortement les comportements inappropriés de nos élus qui sont garants de l'exemplarité; actuellement un citoyen va se voir beaucoup plus pénalisé dans le cas d'un comportement inadéquat qu'un élu; il faut inverser cela et rétablir la notion de justice.Rétablir le respect de l'autre, il est aberrant que Mr Macron ne se comporte pas mieux que Mr Sarcozy.	127	1
68	1-11265	Application loi 1905	Appliquer simplement la loi de séparation en vigueur.	127	4
69	1-11265	Séparation stricte Etat-religions	Appliquer simplement la loi de séparation en vigueur.	127	1
