contribution;tag;corpus;question;count
9 727;Diminution salaires et suppression des avantages des parlementaires, ministres et hauts fonctionnaires;Remettre une partie de l isf baisser le salaire de nos députés et sénateurs;FI8;1
23 723;Réduction consommation énergie, eau;Restreindre l’eau / limiter les lumières / limiter le chauffage;TE11;1
7 850;Suppression ou diminution de la dette;A propos de la dette :&&- Si la BCE nous l’autorise, le peuple, par référendum, décide du remboursement intégral de la dette par émission de monnaie, et retour du financement de l’emprunt public par la BCE (mais régulé pour éviter un trop fort taux d’inflation).&&- Si la BCE l’interdit, le peuple par référendum, décide de la caducité de la dette, et retour à une monnaie nationale pour financer l’emprunt futur;FI9;1
12 932;Utilisation énergies Renouvelables;J'utilise des panneaux solaires et j'ai des toilettes sèches. Je circule avec un vélo assistance électrique que je charge avec mes panneaux solaires.;TE11;1
12 932;Réduction consommation énergie, eau;J'utilise des panneaux solaires et j'ai des toilettes sèches. Je circule avec un vélo assistance électrique que je charge avec mes panneaux solaires.;TE11;1
12 932;Transports plus verts ou réduits;J'utilise des panneaux solaires et j'ai des toilettes sèches. Je circule avec un vélo assistance électrique que je charge avec mes panneaux solaires.;TE11;1
12 940;prise en compte du vote blanc;le vote blanc est un bon moyen d'inciter tout le monde à voter.;DC11;1
12 944;Digitalisation des services publics;Rien ne me manque. L'utilisation d'Internet a été très utile et a fait gagner beaucoup de temps (état civil, carte grises, déclarations fiscales, stationnement : pay by phone).;OE10;1
12 943;Impôt symbolique pour tous;Que la fiscalité ne pèse pas sur le travail, mais qu'elle soit liée à l'impact environnemental (surtout pour la TVA). Tous les foyers fiscaux doivent contribuer à l’impôt (même de manière réduite). Moins de niches fiscales. Lutter contre l'évasion fiscale et interdire l'optimisation fiscale pour les sociétés.;FI8;1
12 943;Revoir niches;Que la fiscalité ne pèse pas sur le travail, mais qu'elle soit liée à l'impact environnemental (surtout pour la TVA). Tous les foyers fiscaux doivent contribuer à l’impôt (même de manière réduite). Moins de niches fiscales. Lutter contre l'évasion fiscale et interdire l'optimisation fiscale pour les sociétés.;FI8;1
12 943;Lutte évasion, fraude, optimisation;Que la fiscalité ne pèse pas sur le travail, mais qu'elle soit liée à l'impact environnemental (surtout pour la TVA). Tous les foyers fiscaux doivent contribuer à l’impôt (même de manière réduite). Moins de niches fiscales. Lutter contre l'évasion fiscale et interdire l'optimisation fiscale pour les sociétés.;FI8;1
12 943;Taxer les multinationales, GAFAM;Que la fiscalité ne pèse pas sur le travail, mais qu'elle soit liée à l'impact environnemental (surtout pour la TVA). Tous les foyers fiscaux doivent contribuer à l’impôt (même de manière réduite). Moins de niches fiscales. Lutter contre l'évasion fiscale et interdire l'optimisation fiscale pour les sociétés.;FI8;1
29 780;Autre / Passer;Arrêter d'en parler;DC13;1
26 356;Autre / Passer;Aucun;OE10;1
12 954;Education / Enseignement;Je suggère que les moyens pour l'éducation des petites classes jusqu'à l'Université soit augmenté, en effet le budget par élève a diminué. L'éducation revêt une importance cruciale dans l'épanouissement des individus, leur flexibilité, compétences et qualités.;OE10;1
38 537;Plus de tranches IR progressives;Une meilleure progressivité fiscale sur les couches les plus riches tant sur le plan  salarial, que patrimonial, que du capital.&&Diviser par 4 la TVA sur les produits sains et subsistanciels (tant sur le plan de l'alimentatiin que de l'hygiène, que du logement que du divertissement enrichissant);FI8;1
38 537;TVA réduite (1ère nécessité);Une meilleure progressivité fiscale sur les couches les plus riches tant sur le plan  salarial, que patrimonial, que du capital.&&Diviser par 4 la TVA sur les produits sains et subsistanciels (tant sur le plan de l'alimentatiin que de l'hygiène, que du logement que du divertissement enrichissant);FI8;1
38 537;Taxer toutes les ressources;Une meilleure progressivité fiscale sur les couches les plus riches tant sur le plan  salarial, que patrimonial, que du capital.&&Diviser par 4 la TVA sur les produits sains et subsistanciels (tant sur le plan de l'alimentatiin que de l'hygiène, que du logement que du divertissement enrichissant);FI8;1
9 811;Plus de contrôle sur le versement des retraites, des aides sociales, des avantages fiscaux;Arrêt de l immigration intensif , retirer la prime de noël aux personnes sans enfants ainsi que les Musulmans;FI9;1
9 811;Autre / Passer;Arrêt de l immigration intensif , retirer la prime de noël aux personnes sans enfants ainsi que les Musulmans;FI9;1
47 073;Plus d'éducation;Intégrer une approche écologique dans l’éducation;TE13;1
9 810;Taxer les multinationales, GAFAM;Que les grandes enseignes comme Google , Carrefour , Amazon etc... soient les plus taxer;FI8;1
26 360;Aides financières, fiscalité incitative, baisse prix;SI je suis dans l'incapacité de changer mon comportement pour raisons financières, un soutien monétaire m'aiderait.;TE12;1
4 100;Autre / Passer;Les « objectifs annuels » ne sauraient être que négatifs. Sur l’intégration je me suis déjà exprimé : assimilation stricte à la France, ou rémigration. Arrêt du regroupement familial et des aides sociales et familiales aux étrangers non-UE.;II3;1
12 970;Etre plus à l'écoute;Avoir des représentants actif qui remontent et traite les problèmes en lieu et place en arrêtant de tergiverser.;OE11;1
12 970;Plus de transparence;Avoir des représentants actif qui remontent et traite les problèmes en lieu et place en arrêtant de tergiverser.;OE11;1
13 010;Autre / Passer;Augementer la décentralisation en donnant de réel pouvoirs aux régions et supprimer les départements en les intégrant aux régions.;FI9;1
13 011;Accessibilité (plus d’horaires, plus de personnel, plus proche);Qu'il y ai un service public ramené à la commune pour une meilleure gestion et une meilleure connaissance des administrés;OE10;1
4 130;Education, infos fiables sur l'impact de chaque geste;L'éducation. Il faut éduquer dès le plus jeune âge les enfants.;TE12;1
38 230;Un état et des services publics moins dépensiers et plus efficaces / meilleure utilisation des impôts;Il faudrait :&&- faire que les compétences de chaque collectivité territoriale soient définies et limitées. Qu’à une mission corresponde une collectivité. Actuellement, tout le monde s’occupe de tout...&&- l’imiter les subventions aux associations à des abonnements aux dons de personnes privées. Ainsi, ne seront subventionnées que les associations soutenues réellement par la population,&&- mettre en place le chèque scolaire : ça obligerait le mammouth à se réformer&&- maintenir le quotient familial &&- encourager une France de propriétaire &&-;FI9;1
38 608;Taxer les riches;taxer les gros richards et cesser de taper sur la tête des retraités qui crèvent !;FI8;1
26 380;Autre / Passer;Changer de gouvernement et une totale réorganisation.;FI8;1
13 026;Bureaux de Poste;j'entends qu'on ferme des hopitaux, des bureaux de poste, des guichets de gare... ça ne devrait pas avoir lieu;OE10;1
13 026;Santé (hôpitaux, médecins);j'entends qu'on ferme des hopitaux, des bureaux de poste, des guichets de gare... ça ne devrait pas avoir lieu;OE10;1
13 026;Transports en commun;j'entends qu'on ferme des hopitaux, des bureaux de poste, des guichets de gare... ça ne devrait pas avoir lieu;OE10;1
4 160;Meilleure isolation, changement chauffage/chaudière;Ne plus utiliser les produits phytosanitaires dangereux, rouler moins en voiture, modifier mon installation de chauffage au fuel.;TE11;1
4 160;Transports plus verts ou réduits;Ne plus utiliser les produits phytosanitaires dangereux, rouler moins en voiture, modifier mon installation de chauffage au fuel.;TE11;1
10 090;augmenter les aides aux associations;Des initiatives plus locale (va de pair avec l'économie locale et circulaire);DC12;1
10 090;plus de possibilité de participation citoyenne;Des initiatives plus locale (va de pair avec l'économie locale et circulaire);DC12;1
38 660;apprentissage du français;Favoriser l’accès au travail Pour chacun et repartir les populations sur le territoire;II3;1
38 660;plus de mixité;Favoriser l’accès au travail Pour chacun et repartir les populations sur le territoire;II3;1
13 041;Suppression ou diminution des taxes sur les objets de première nécessité;On a deja du mal a vivre de notre travail comment voulez vous que l'on paie des impôts ...;FI9;1
13 041;Suppression ou diminution d'impôts et taxes (TVA, Taxes carburants, CSG, habitation, charges salaires, etc.);On a deja du mal a vivre de notre travail comment voulez vous que l'on paie des impôts ...;FI9;1
13 043;Autre / Passer;Si vous ecoutez les français vous le seriez :);II3;1
13 044;Autre / Passer;J'ai pas vu d'évolution positive ..;OE10;1
38 690;Simplification de l'administration et des services publics;L'organisation des administrations mériterait d'être simplifié.;OE9;1
4 180;Taxer les riches;Taxer les riches qui déclare plus de 30000e;FI8;1
13 059;Accessibilité (plus d’horaires, plus de personnel, plus proche);Arrêtez de regrouper les hôpitaux et de réduire le maillage des services publics;OE10;1
13 059;Santé (hôpitaux, médecins);Arrêtez de regrouper les hôpitaux et de réduire le maillage des services publics;OE10;1
26 393;Il faut faire plus d'efforts à faire sur l'accueil, l'intégration, les cours de français;C’est bon aujourd’hui. Plus’d’aide à l’accueil et un respeczt plus fort des accueillis;II1;1
54 771;racisme, xénophobie, discriminations religieuses;Discrimination racial, discrimation sexiste (protection gratuite pour les femmes, cours d'éducation sexuel sur le consentement, mesure pour les femmes victimes de violences);DC12;1
54 771;sexisme;Discrimination racial, discrimation sexiste (protection gratuite pour les femmes, cours d'éducation sexuel sur le consentement, mesure pour les femmes victimes de violences);DC12;1
54 771;éduquer / former au vivre ensemble dès le plus jeune âge;Discrimination racial, discrimation sexiste (protection gratuite pour les femmes, cours d'éducation sexuel sur le consentement, mesure pour les femmes victimes de violences);DC12;1
54 771;renforcer les lois (ex : parité H/F, …);Discrimination racial, discrimation sexiste (protection gratuite pour les femmes, cours d'éducation sexuel sur le consentement, mesure pour les femmes victimes de violences);DC12;1
54 770;en attente;Macron démission;QL;1
54 731;vote obligatoire;Vote obligatoire et formation politique dès le collège;DC11;1
54 731;éducation citoyenne de la jeunesse;Vote obligatoire et formation politique dès le collège;DC11;1
26 404;Santé (hôpitaux, médecins);Le service hospitalier necessite une forte amélioration.&&L'accès au haut débit est très en retard en France.;OE10;1
54 732;sexisme;Discrimination sexuelle;DC12;1
26 400;Autre / Passer;Juger plus sévèrement les mineurs délinquants en sanctionnant également les parents.;DC13;1
11 273;Autre / Passer;maintenir des services poblics dans tous les territoires;OE11;1
38 733;homophobie, transphobie, LGBTphobie;Le sexisme ordinaire, l’homophobie, le racisme;DC12;1
38 733;racisme, xénophobie, discriminations religieuses;Le sexisme ordinaire, l’homophobie, le racisme;DC12;1
38 733;sexisme;Le sexisme ordinaire, l’homophobie, le racisme;DC12;1
13 070;Lenteur administrative;Déjà par exemple la poste trop d'attente c'est cliché mais c'est la vérité Pôle emploi trop d'attente si vous avez le malheur d'oublier un papier vous pouvez attendre encore un mois avant votre réponse abuser après il faut que j'améliore leur fonctionnement l'organisation prise de rendez-vous dans les moindres délais si ils ont pas le temps qu'ils sont débordés faut embaucher point c'est tout;OE9;1
13 070;Plus de moyens;Déjà par exemple la poste trop d'attente c'est cliché mais c'est la vérité Pôle emploi trop d'attente si vous avez le malheur d'oublier un papier vous pouvez attendre encore un mois avant votre réponse abuser après il faut que j'améliore leur fonctionnement l'organisation prise de rendez-vous dans les moindres délais si ils ont pas le temps qu'ils sont débordés faut embaucher point c'est tout;OE9;1
10 373;apprentissage du français;Français et éducation civique dès le plus jeune âge.;II3;1
10 373;service civique;Français et éducation civique dès le plus jeune âge.;II3;1
4 191;Autre / Passer;Il faudrait baisser les prélèvements et les redistributions. Si on nous prend moins, nous avons moins besoin que l'on nous redonne.;FI8;1
54 940;Autre / Passer;En rendant l'argent qu'on prend au français;OE11;1
22 231;Plus d'information sur la collecte des impôts;Expliquer clairement l'utilisation de l'impôt poste par poste, et avoir une attitude sans arrogance, et une gestion de l'argent public irréprochable. Les français détestent leurs dirigeants, se croient floués par les gouvernements qui ne semblent servir que leurs intérêts , c'est comme la monarchie. Plus encore que le chef suprême : la cour, les courtisans malhonnêtes à Paris et puis très loin .... le peuple. Macron à le charisme et les moyens de renverser la table. S'il ne devient pas le chef de la révolution, il y aura une révolution.;FI9;1
22 231;Plus d'information sur la dépense des impôts;Expliquer clairement l'utilisation de l'impôt poste par poste, et avoir une attitude sans arrogance, et une gestion de l'argent public irréprochable. Les français détestent leurs dirigeants, se croient floués par les gouvernements qui ne semblent servir que leurs intérêts , c'est comme la monarchie. Plus encore que le chef suprême : la cour, les courtisans malhonnêtes à Paris et puis très loin .... le peuple. Macron à le charisme et les moyens de renverser la table. S'il ne devient pas le chef de la révolution, il y aura une révolution.;FI9;1
38 782;homophobie, transphobie, LGBTphobie;Je suis victime de trans-phobie et d'homophobie dans ma vie de tout les jours, et ceux régulièrement. Il faut sensibiliser les français sur ces sujets, et mettre en place des prises en charges de l'état pour les personnes transgenre, dont la vie en France est un combat sans répit.;DC12;1
38 782;augmenter les aides aux associations;Je suis victime de trans-phobie et d'homophobie dans ma vie de tout les jours, et ceux régulièrement. Il faut sensibiliser les français sur ces sujets, et mettre en place des prises en charges de l'état pour les personnes transgenre, dont la vie en France est un combat sans répit.;DC12;1
13 081;Autre / Passer;Revoir le système d’attribution d’aides. Donner aux nécessiteux français et étudier au cas par cas selon des critères plus draconiens.;FI8;1
2 942;Aucun;Rien, pas les moyens financiers.;TE11;1
4 220;Autre / Passer;Imposer les grandes sociétés polluante;OE11;1
4 223;racisme, xénophobie, discriminations religieuses;Le rasisme;DC12;1
4 225;Lutte évasion, fraude, optimisation;Tous faire pour évité les évasions fiscale des plus riche et des grande société;FI8;1
4 225;Taxer les multinationales, GAFAM;Tous faire pour évité les évasions fiscale des plus riche et des grande société;FI8;1
13 100;Tri sélectif plus facile;Avant moi je pense que certains agriculteur ne devraient plus avoir le droit  d arrachait les haie de refermer les fossés le traitement des  terres &&Autres choses verbalisé les gens qui jettent leur déchet sur la route mais en même temps il n y a plus de contenaire à poubelle sur les borres des routes 🤔;TE12;1
13 100;Autre / Passer;Avant moi je pense que certains agriculteur ne devraient plus avoir le droit  d arrachait les haie de refermer les fossés le traitement des  terres &&Autres choses verbalisé les gens qui jettent leur déchet sur la route mais en même temps il n y a plus de contenaire à poubelle sur les borres des routes 🤔;TE12;1
13 119;Incompétence et inefficacité;Meilleur formation des agents (agents intéressés par leurs métiers) &&Explication des droits aux usagers;OE9;1
13 119;Plus de transparence;Meilleur formation des agents (agents intéressés par leurs métiers) &&Explication des droits aux usagers;OE9;1
38 843;instauration R.I.C.;Je pense qu'instaurer un RIC basé sur le modèle Suisse pourrait permettre d'amener la politique dans la vie publique : en effet, avoir des gens qui récoltent des signatures pour des projets de lois permet d'enclencher un débat dans les cafés, dans la rue etc. à force d'être interpellé les gens réfléchirais plus et s'intéresserais davantage à la politique, irais voter, et se forgerais plus facilement une opinion;DC11;1
26 455;Rétablir ISF;Remettre l'ISF;FI8;1
10 671;Un état et des services publics moins dépensiers et plus efficaces / meilleure utilisation des impôts;Dépense publique;FI9;1
13 140;discriminations de classe / inégalités sociales;Injustice sociale faire du cas par cs;DC12;1
10 720;Colère;Arrêter de prendre les gens pour des cons dans les films, les pubs, les entreprises;TE13;1
26 472;Transports plus verts ou réduits;Je fais le tri et me déplace à pied.;TE11;1
26 472;Tri sélectif, compost, réduction déchets;Je fais le tri et me déplace à pied.;TE11;1
13 151;Autre / Passer;Arrêter les doublons entre les communes, départements, régions et autres services parallèles...;OE10;1
37 371;Plus de tranches IR progressives;Rétablir l'ISF &&Lutter contre l'évasion fiscale &&Un impôt plus juste avec de nouvelles tranches;FI8;1
37 371;Rétablir ISF;Rétablir l'ISF &&Lutter contre l'évasion fiscale &&Un impôt plus juste avec de nouvelles tranches;FI8;1
37 371;Lutte évasion, fraude, optimisation;Rétablir l'ISF &&Lutter contre l'évasion fiscale &&Un impôt plus juste avec de nouvelles tranches;FI8;1
13 153;Suppression d'échelons (département, ...);Trop d'inertie, de niveaux et de méandres nuisant fortement à l'efficience des services;OE9;1
13 152;En étant proche des gens / présence physique;Rester au plus près des territoires considérés;OE11;1
4 263;Taxe sur les plus gros pollueurs;Arrêter en urgence toute utilisation du glyphosate  et de tous pesticides mauvais pour la planéte et Nous..&&Faire payer les gros pollueurs soit paquebot de tourisme....&&Planter des arbres, remettre le métier d herboristerie ce qui amènerait les gens à se tourner plus vers la nature et donc de la respecter mieux.;TE13;1
4 263;Arrêt du glyphosate;Arrêter en urgence toute utilisation du glyphosate  et de tous pesticides mauvais pour la planéte et Nous..&&Faire payer les gros pollueurs soit paquebot de tourisme....&&Planter des arbres, remettre le métier d herboristerie ce qui amènerait les gens à se tourner plus vers la nature et donc de la respecter mieux.;TE13;1
4 263;Végétalisation;Arrêter en urgence toute utilisation du glyphosate  et de tous pesticides mauvais pour la planéte et Nous..&&Faire payer les gros pollueurs soit paquebot de tourisme....&&Planter des arbres, remettre le métier d herboristerie ce qui amènerait les gens à se tourner plus vers la nature et donc de la respecter mieux.;TE13;1
4 263;Préservation de la biodiversité;Arrêter en urgence toute utilisation du glyphosate  et de tous pesticides mauvais pour la planéte et Nous..&&Faire payer les gros pollueurs soit paquebot de tourisme....&&Planter des arbres, remettre le métier d herboristerie ce qui amènerait les gens à se tourner plus vers la nature et donc de la respecter mieux.;TE13;1
37 380;Taxe sur les plus gros pollueurs;A échelle de l'individu ce n'est pas suffisant il faut que le gouvernement et l'Europe créé des lois pour que les entreprises prennent le pas &&Ce sont elles les plus gros pollueurs;TE13;1
37 380;Faire de la transition la priorité nationale;A échelle de l'individu ce n'est pas suffisant il faut que le gouvernement et l'Europe créé des lois pour que les entreprises prennent le pas &&Ce sont elles les plus gros pollueurs;TE13;1
38 854;Transports en commun;Il me manque des transports pas chers et beaucoup plus développés et réguliers en campagne. On ne peut pas me dire que je ne dois pas prendre ma voiture s'il n'y a aucune alternative, c'est aussi simple que ça.;OE10;1
48 872;racisme, xénophobie, discriminations religieuses;Le racisme, le sexisme;DC12;1
48 872;sexisme;Le racisme, le sexisme;DC12;1
10 931;Plus de contrôle sur le versement des retraites, des aides sociales, des avantages fiscaux;Contrôler avec plus de rigueur le droit au allocations familiales et sociales .;FI9;1
13 173;Autre / Passer;cela ne servirait à rien car la majorité des Français sont super égoïstes et ne pensent qu'à eux et non pas à la France !!!!;DC11;1
13 181;Accessibilité (plus d’horaires, plus de personnel, plus proche);Ce qu'il manque : plus de transports toute la nuit à Paris le weekend.&&À améliorer : efficacité de la sécurité sociale;OE10;1
13 181;Transports en commun;Ce qu'il manque : plus de transports toute la nuit à Paris le weekend.&&À améliorer : efficacité de la sécurité sociale;OE10;1
13 181;Autre / Passer;Ce qu'il manque : plus de transports toute la nuit à Paris le weekend.&&À améliorer : efficacité de la sécurité sociale;OE10;1
4 303;Autre / Passer;Création d’une plate-forme de vote pour toutes lois nationales et européennes avec obligation des représentants d’exécuter là décisions du plus grands nombres;DC11;1
13 180;Indicateurs d'efficacité;Plus de communication sur l'utilisation de nos impôts, avec des exemples concrets (vs. des sigles barbares) et personnalisés : xx€ ont servi à payer x jours d'école à votre fils Jean, xx€ ont contribué à la refonte de la départementale que vous empruntez tous les jours pour aller au travail, etc;FI7;1
13 180;Plus d'information sur la dépense des impôts;Plus de communication sur l'utilisation de nos impôts, avec des exemples concrets (vs. des sigles barbares) et personnalisés : xx€ ont servi à payer x jours d'école à votre fils Jean, xx€ ont contribué à la refonte de la départementale que vous empruntez tous les jours pour aller au travail, etc;FI7;1
13 180;Plus de transparence;Plus de communication sur l'utilisation de nos impôts, avec des exemples concrets (vs. des sigles barbares) et personnalisés : xx€ ont servi à payer x jours d'école à votre fils Jean, xx€ ont contribué à la refonte de la départementale que vous empruntez tous les jours pour aller au travail, etc;FI7;1
13 180;Plus d'information par courrier, mail;Plus de communication sur l'utilisation de nos impôts, avec des exemples concrets (vs. des sigles barbares) et personnalisés : xx€ ont servi à payer x jours d'école à votre fils Jean, xx€ ont contribué à la refonte de la départementale que vous empruntez tous les jours pour aller au travail, etc;FI7;1
13 180;Plus d'information par internet;Plus de communication sur l'utilisation de nos impôts, avec des exemples concrets (vs. des sigles barbares) et personnalisés : xx€ ont servi à payer x jours d'école à votre fils Jean, xx€ ont contribué à la refonte de la départementale que vous empruntez tous les jours pour aller au travail, etc;FI7;1
13 185;Autre / Passer;rapport annuel de l'utilisation des sommes perçus;FI8;1
13 191;Consommation réduite ou vertueuse (bio, circuit court, local);je roule éthanol, et gère ma consommation à sa simple utilité;TE11;1
13 191;Transports plus verts ou réduits;je roule éthanol, et gère ma consommation à sa simple utilité;TE11;1
13 189;Accessibilité (plus d’horaires, plus de personnel, plus proche);améliorations : des plages horaires réaliste pour accueillir le public avec des horaire le samedi matin;OE10;1
13 190;Autre / Passer;être un vrai service PUBLIC;OE9;1
38 911;Consommation réduite ou vertueuse (bio, circuit court, local);Les moyen de transport et qu'on arrête d'acheter des produit a l'étranger;TE11;1
38 911;Transports plus verts ou réduits;Les moyen de transport et qu'on arrête d'acheter des produit a l'étranger;TE11;1
38 893;Incitations financières au lieu de taxes;Il me semble que l’Etat impulse le mouvement par des investissements mais surtout favorise les acteurs du privé afin qu’ils soient encouragés à prendre des initiatives qui vont dans le sens de la planète et de la transition écologique.;TE13;1
38 883;Faire de la transition la priorité nationale;Je trouve qu'il y a énormément de sujet à aborder, autre qu'incitations fiscales ou taxations. De plus, il est impossible de prioriser la biodiversité ou la pollution de l'air (cf question 1). La seule priorité est l'environnement dans sa  globalité. &&Les questions de ce questionnaire sont donc beaucoup trop orientés pour être productives et significatives.;TE13;1
38 910;Autre / Passer;L'organisation de l'État devrait penser au citoyen;OE9;1
4 308;Famille (enfance, crèches, allocations familiales CAF);Ouverture de crèches, meilleure accès aux transports en commun (bus, tramway) respectieux de l’environnement (electrique);OE10;1
4 308;Transports en commun;Ouverture de crèches, meilleure accès aux transports en commun (bus, tramway) respectieux de l’environnement (electrique);OE10;1
4 320;Autre / Passer;Services environnementaux : recyclage, services de réparation, plateformes communales de dons ...;OE10;1
30 432;Consommation réduite ou vertueuse (bio, circuit court, local);Tri et alimentation de produits locaux et en saison. Moins de viande dans le régime alimentaire;TE11;1
30 432;Régime alimentaire;Tri et alimentation de produits locaux et en saison. Moins de viande dans le régime alimentaire;TE11;1
30 432;Tri sélectif, compost, réduction déchets;Tri et alimentation de produits locaux et en saison. Moins de viande dans le régime alimentaire;TE11;1
19 482;homophobie, transphobie, LGBTphobie;Racisme homophobie xénophobie;DC12;1
19 482;racisme, xénophobie, discriminations religieuses;Racisme homophobie xénophobie;DC12;1
29 590;plus d’exemplarité des dirigeants politiques;Les aider à retrouver confiance aux Hommes politique;DC11;1
29 590;respect des engagements des dirigeants politiques;Les aider à retrouver confiance aux Hommes politique;DC11;1
