id_lga;tag_lga;tag_elf
127;Lutte contre extrémismes;Lutte contre extrémismes
127;Statut des écoles religieuses;Encadrement des religions (écoles culturelles, formation imams, prêches, …)
127;Plus de tolérance;Plus d'éducation / dialogue / tolérance
127;Pas de menu religieux;Pas de menu religieux
127;Stop prosélytisme;Stop prosélytisme
127;Garantir la liberté de culte;Garantir la liberté de culte
127;Encadrer formation imams;Encadrement des religions (écoles culturelles, formation imams, prêches, …)
127;Plus de dialogue;Plus d'éducation / dialogue / tolérance
127;Fin du Concordat (Alsace-Moselle);Fin du Concordat (Alsace-Moselle)
127;Lutte communautarisme;Lutte contre communautarisme
127;Laïcisation du calendrier;Laïcisation du calendrier
127;Pas de prêche en langue étrangère;Encadrement des religions (écoles culturelles, formation imams, prêches, …)
127;Pas de laïcité extrême;Lutte contre extrémismes
141;Immigration choisie, sélective;Il faut une immigraiton séléctive
141;Aider les réfugiés, demandeurs d'asile;Il faut faire plus d'efforts à faire sur l'accueil, l'intégration, les cours de français
141;A Politique trop laxiste (trop de migrants);Trop de migrants, politique migratoire actuelle trop laxiste
141;Instaurer des quotas;Instaurer politique de quotas
141;B Politique non satisfaisante;Politique migratoire actuelle non satisfaisante
141;Accueillir mieux;Il faut faire plus d'efforts à faire sur l'accueil, l'intégration, les cours de français
141;Rester un pays ouvert;Il faut rester un pays ouvert,
141;Contrôler, renvoyer;Plus de controles, plus de renvois
141;Aider les pays d'origine;Il faut aider les pays d'où l'immigration arrive
141;Priorité aux Français, SDF;Il faut aider les Français/SDF d'abord
141;C Politique européenne commune;Politique de l'europe commune sur l'immigration
141;B Politique satisfaisante;Politique migratoire actuelle satisfaisante
141;Expliquer, clarifier, informer;Besoin d'explication, de clarification de la situation et politique actuelle
144;Par le travail;aide à l’emploi / stage
144;Education civique (culture, valeurs);service civique
144;Apprentissage du français;apprentissage du français
144;Par l'école;accès à l’école
144;Mixité sociale logement (pas de ghetto);plus de mixité
144;Formation professionnelle;aide à l’emploi / stage
144;Accueillir décemment (logement, soins);aide au logement
144;Par la vie associative, de quartier;lien social dans les quartiers
144;Service civique;service civique
144;Aide, suivi dans l'intégration, les démarches;suivi/ accompagnement dans les démarches
